FORMA_EVASAO,PERIODO,FORMA_INGRESSO,ANO_INGRESSO,SEXO
Abandono,1o. Semestre,Vestibular,2008,M
Abandono,1o. Semestre,Vestibular,2009,M
Abandono,1o. Semestre,Vestibular,2009,M
Abandono,1o. Semestre,Vestibular,2009,M
Abandono,1o. Semestre,Vestibular,2009,M
Abandono,1o. Semestre,Vestibular,2009,M
Abandono,1o. Semestre,Vestibular,2011,M
Abandono,1o. Semestre,Vestibular,2012,M
Abandono,1o. Semestre,Vestibular,2013,M
Abandono,1o. Semestre,Vestibular,2013,M
Abandono,1o. Semestre,Vestibular,2013,M
Abandono,1o. Semestre,Vestibular,2013,M
Abandono,1o. Semestre,Vestibular,2013,M
Abandono,1o. Semestre,Vestibular,2013,M
Abandono,1o. Semestre,Vestibular,2014,M
Abandono,1o. Semestre,Vestibular,2014,M
Cancelamento Pedido,1o. Semestre,Vestibular,2007,M
Cancelamento Pedido,1o. Semestre,Vestibular,2011,M
Cancelamento Pedido,1o. Semestre,Vestibular,2011,M
Cancelamento Pedido,1o. Semestre,Vestibular,2012,F
Cancelamento Pedido,1o. Semestre,Vestibular,2013,M
Cancelamento Pedido,1o. Semestre,Vestibular,2015,M
Cancelamento Pedido,1o. Semestre,Vestibular,2015,M
Cancelamento Pedido,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência Vestibular,1o. Semestre,Vestibular,2015,M
Desistência Vestibular,1o. Semestre,Vestibular,2015,M
Desistência Vestibular,1o. Semestre,Vestibular,2015,M
Desistência Vestibular,1o. Semestre,Vestibular,2015,M
Desistência Vestibular,1o. Semestre,Vestibular,2015,M
Desistência Vestibular,1o. Semestre,Vestibular,2015,M
Desistência Vestibular,1o. Semestre,Vestibular,2015,M
Desistência Vestibular,1o. Semestre,Vestibular,2015,M
Desistência Vestibular,1o. Semestre,Processo Seletivo/ENEM,2015,M
Desistência Vestibular,1o. Semestre,Vestibular,2015,M
Formatura,1o. Semestre,Reopção,2008,M
Formatura,1o. Semestre,Vestibular,2005,M
Formatura,1o. Semestre,Vestibular,2006,M
Formatura,1o. Semestre,Vestibular,2006,M
Formatura,1o. Semestre,Reopção,2009,M
Formatura,1o. Semestre,Vestibular,2008,M
Formatura,1o. Semestre,Vestibular,2008,F
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2010,M
Formatura,1o. Semestre,Vestibular,2010,M
Formatura,1o. Semestre,Vestibular,2010,M
Formatura,1o. Semestre,Vestibular,2010,M
Formatura,1o. Semestre,Vestibular,2011,F
Formatura,1o. Semestre,Vestibular,2012,M
Jubilamento,1o. Semestre,Vestibular,2006,M
Jubilamento,1o. Semestre,Vestibular,2006,M
Jubilamento,1o. Semestre,Vestibular,2007,M
Jubilamento,1o. Semestre,Vestibular,2007,M
Jubilamento,1o. Semestre,Vestibular,2007,M
Jubilamento,1o. Semestre,Vestibular,2008,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2015,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2015,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2015,M
Não Confirmação de Vaga,1o. Semestre,Processo Seletivo/ENEM,2015,M
Não Confirmação de Vaga,1o. Semestre,Processo Seletivo/ENEM,2015,M
Novo Vestibular,1o. Semestre,Vestibular,2008,M
Novo Vestibular,1o. Semestre,Vestibular,2008,M
Novo Vestibular,1o. Semestre,Vestibular,2009,M
Novo Vestibular,1o. Semestre,Vestibular,2010,M
Novo Vestibular,1o. Semestre,Vestibular,2012,M
Novo Vestibular,1o. Semestre,Vestibular,2012,M
Novo Vestibular,1o. Semestre,Vestibular,2013,M
Novo Vestibular,1o. Semestre,Transferência Ex-Ofício,2014,M
Reopção,1o. Semestre,Vestibular,2013,M
Reopção,1o. Semestre,Vestibular,2014,F
Término de Registro Temporário,1o. Semestre,Mobilidade Acadêmica,2014,M
Término de Registro Temporário,1o. Semestre,Mobilidade Acadêmica,2014,M
Abandono,2o. Semestre,Reopção,2009,M
Abandono,2o. Semestre,Vestibular,2008,M
Abandono,2o. Semestre,Vestibular,2008,M
Abandono,2o. Semestre,Vestibular,2009,F
Abandono,2o. Semestre,Vestibular,2009,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2011,F
Abandono,2o. Semestre,Vestibular,2012,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2015,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2015,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2015,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2015,M
Cancelamento Pedido,2o. Semestre,Vestibular,2015,M
Formatura,2o. Semestre,Vestibular,2005,M
Formatura,2o. Semestre,Vestibular,2007,M
Formatura,2o. Semestre,Vestibular,2008,M
Formatura,2o. Semestre,Vestibular,2008,M
Formatura,2o. Semestre,Vestibular,2008,M
Formatura,2o. Semestre,Vestibular,2009,M
Formatura,2o. Semestre,Vestibular,2009,M
Formatura,2o. Semestre,Vestibular,2009,M
Formatura,2o. Semestre,Vestibular,2009,M
Formatura,2o. Semestre,Vestibular,2009,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
